id;name;code;flag_active;create_user;created_at;update_user;updated_at;uuid
10d93d3a-0034-4b57-aa72-470f7bf815ef;until;unnaturally ack defrag;false;hype whoa;2025-08-03T15:11:10;bowed unethically;2025-08-03T09:36:58;bog
a1fff350-bb71-4592-a873-07a12a07f14f;vary bouncy;absentmindedly hmph;false;alongside a;2025-08-03T14:50:17;inside meh;2025-08-03T04:40:27;agreeable
b9e22311-e44b-4ee5-9fb0-3a20d88a8eea;offensively across;lavish and;true;inasmuch rigidly;2025-08-03T18:40:06;apparatus;2025-08-03T15:53:51;lay
5475faf4-8f68-47cd-8534-2805157e374e;ugh;bowler;true;trusting freely;2025-08-03T08:40:52;immediately squirm;2025-08-03T06:06:06;phew gaseous greedy
9b51d7a3-7b21-42c6-bcfa-2257a8da5271;brr apud;chilly swanling gladly;false;querulous yahoo;2025-08-03T11:59:43;boldly quaff;2025-08-03T19:45:22;ugh
6bac87f1-09cc-4987-9862-049590b31f6d;mid as watery;healthily blind;true;tired;2025-08-03T12:11:47;meh brilliant;2025-08-03T16:30:29;why basic
cca9383e-5462-4a98-ad62-fc040409b663;consequently hateful;ack;false;geez;2025-08-03T12:51:05;pfft;2025-08-03T17:30:33;roasted supposing always
4a624c08-7679-486d-b695-9524f3aedda3;lanky regular blind;bah how;true;wise;2025-08-03T18:22:15;but silently ew;2025-08-03T09:04:24;when
97f3c110-fac5-435a-86bc-a72c3283d84d;excepting;diligently;true;hence anti yet;2025-08-03T03:41:07;tributary;2025-08-03T20:35:46;after
24aeb1e0-9b4e-4b71-af44-585beb0b7599;poorly deficient;pessimistic loftily;false;observe healthily yet;2025-08-02T22:54:48;boo break;2025-08-03T10:33:05;like anenst because
