id;name;documentode;flag_active;create_user;created_at;update_user;updated_at;uuid
de1c4257-9742-4673-8c2c-f489be9a364b;address;minor disadvantage lively;true;boo;2025-08-03T18:29:34;perfection eek when;2025-08-03T19:04:31;too twine within
a2b10fdf-37c1-4ec0-901c-95eacbfd70b2;aha pry;after of good-natured;true;ultimately peony meanwhile;2025-08-03T17:11:09;whopping ah;2025-08-03T16:00:34;splurge aw mid
7089a040-5ecc-45d1-a28b-333aa4708882;yuck extremely;upon orange yak;false;forenenst;2025-08-02T23:28:44;bestride opposite;2025-08-03T17:13:43;industrialize enlist
d3abdf38-940e-4f1e-9cfb-cfb937d1f56d;worriedly merrily;concerned likewise;false;as nudge for;2025-08-03T18:49:21;smog nor essay;2025-08-03T05:24:56;hm
47a93cd3-33d4-4c9f-8195-42df2d372283;or inside;excitable elegantly qua;true;provided;2025-08-03T14:37:05;ack gee;2025-08-03T19:40:12;once throughout institute
4ea44c15-c182-4c35-a029-4f6c74822b4f;caring unfreeze;now less meaningfully;false;costume oof anenst;2025-08-03T15:36:19;indeed neglected parade;2025-08-03T18:51:52;doubtfully from
63cfff59-a3f2-40a0-989c-6f7632b2efcf;exactly;so;false;messy instead baa;2025-08-03T13:44:08;gee categorise;2025-08-03T11:42:35;boo
86e0f846-6908-457b-a436-ef611253d844;although;that;true;a;2025-08-03T16:53:08;since excluding;2025-08-03T02:17:06;madly completion
5e2aad0f-59b1-4b6f-bb5b-e809d8a86fe2;whether apprehensive;fort really;false;untrue;2025-08-03T01:01:24;bobble through whenever;2025-08-03T17:24:14;while
52896f1b-0410-441a-9d8e-414e30695374;woot ew offensively;absent what now;false;palate an fooey;2025-08-03T04:55:14;absent present;2025-08-03T15:16:14;inasmuch lest whoever
