id;title;publication_date;flag_active;create_user;created_at;update_user;updated_at;uuid
cb474fdf-a9a5-47ee-9b5e-31a1d1186446;whoever ack delightfully;2025-08-02T13:54:59;false;including once;2025-08-02T13:32:20;pfft;2025-08-02T03:53:35;circa yieldingly
c2aefb00-bb29-4901-a04c-59d58c3bed00;versus;2025-08-02T03:56:43;false;barring;2025-08-02T08:05:04;unless which;2025-08-02T16:56:59;delightfully nicely ouch
f52c5537-8d29-4ab4-ac4b-7ecae18f6830;loosely;2025-08-02T09:36:21;true;dash silent;2025-08-02T19:58:38;yearly outside blah;2025-08-02T18:45:15;yippee
2fd7cc0f-395d-432b-88d9-6b316b772bb5;aboard sans ew;2025-08-02T21:45:35;false;oh;2025-08-02T16:44:22;mooch whoever immaculate;2025-08-02T14:55:54;gah around
5e406461-447a-4ab2-bd30-d7f111f4fadc;following energetically interestingly;2025-08-02T05:21:19;true;motivate uniform vainly;2025-08-02T04:31:57;and disloyal sardonic;2025-08-03T00:30:26;as card
4c838bde-2389-4864-bac8-32efb1173768;unless;2025-08-02T19:37:51;true;wrongly;2025-08-02T22:33:04;against scary;2025-08-02T14:20:00;before happily shovel
dd652faa-2bac-434d-9dfe-52a7ef04ada2;anti notwithstanding;2025-08-02T21:59:39;false;hm;2025-08-02T09:50:10;schematise pro;2025-08-02T16:28:20;obedient who quarterly
4015548c-48ba-4424-8deb-bbbd935930a2;drat solemnly;2025-08-02T15:30:02;true;like;2025-08-03T02:45:14;quicker validity amidst;2025-08-02T09:26:38;once narrow outbid
8111112a-2bb3-4ae1-9b96-18441628e42e;slather brr;2025-08-02T09:11:57;true;confirm reckless;2025-08-02T10:47:20;unabashedly;2025-08-02T16:57:12;mostly
972e8731-cfdb-4069-8bef-f36dfff0d1e9;beside;2025-08-02T15:46:01;false;violently because;2025-08-03T01:33:24;scarily;2025-08-03T03:33:31;uh-huh though resort
