id;publication_form_version_name;publication_form_version_code;flag_active;create_user;created_at;update_user;updated_at;uuid
4e37f282-a272-4f80-b8ee-ddc0a15da34c;how hmph;fooey godfather incidentally;false;regarding;2025-08-02T12:38:57;cosset past keel;2025-08-02T17:02:02;um courageous pronoun
6308ade8-f34f-48f8-bfba-f4fd9170955f;but worst;familiar personalise;false;cook which;2025-08-02T16:20:26;frightened yak;2025-08-02T14:32:36;carelessly
f86ca44a-978b-4b9a-9ddf-f9b27bf6a64e;phew;once black an;false;mouser;2025-08-02T22:07:04;till sans;2025-08-03T00:21:12;yowza enchanting
3f80d740-987a-4d6a-b6df-0fb15dd263c5;ugh definitive;oof weekly;true;towards helplessly hard-to-find;2025-08-02T03:40:25;dredger or;2025-08-02T13:55:50;because
3a28ab02-8dce-48d7-addd-9ea21dc8a437;dependent;regarding toe;false;arraign;2025-08-03T00:35:04;crossly majestic;2025-08-02T23:46:32;yahoo state
491c2f1c-a6df-4e58-a2a5-2acc35db6e26;triumphantly above armchair;lest beautifully;true;whoa brr;2025-08-02T19:14:29;whether lest;2025-08-02T16:28:04;westernise
a9f85aae-7264-46cb-9843-3d0cf4dee709;righteously duh;what enhance;false;object;2025-08-02T09:55:54;thoughtfully midst;2025-08-03T00:21:26;normal
149657bf-f1c8-4cea-87a8-d42ecc270def;fake realistic;hunt insignificant ouch;false;ha following;2025-08-03T03:37:38;excluding miserably;2025-08-02T08:00:16;gee hmph
97f494bd-7a69-43df-8bba-884af21c273d;boohoo for merry;showy mentor what;true;mixture cow carefully;2025-08-02T10:07:18;cap afore;2025-08-02T15:28:09;clearly fill inferior
d86c558c-4d57-4797-9fe6-7c32655bd1a9;scientific daintily;agitated;true;but meanwhile inwardly;2025-08-02T10:00:27;mom;2025-08-02T10:56:42;till lanky hutch
