id;publication_status_name;publication_status_code;flag_active;create_user;created_at;update_user;updated_at;uuid
237b5e66-3e9d-4474-803f-2b3c4582a08b;blah hello jam-packed;uh-huh;false;mockingly mid;2025-08-02T05:32:15;incidentally flu;2025-08-02T20:23:59;scheme supposing
ea821574-7246-48bf-b1fe-64b20fb390d1;inject fine;kosher delightfully yet;true;limply;2025-08-02T23:53:05;cross howl quietly;2025-08-02T17:46:14;er toward
2a074f40-3a15-4279-b2b4-13f60f3b417e;memorise of;suspiciously;false;equally;2025-08-03T01:49:37;cram woot;2025-08-02T22:21:53;boo greedily
cd070e10-c83e-46ed-bfc6-69ccd5584df2;till;triumphantly;false;babushka;2025-08-02T19:38:40;mindless bruised bandwidth;2025-08-02T18:40:14;untrue geez
bc227595-3ec7-4508-a81a-ba51010d0968;spotless;generally rightfully huzzah;false;wonderfully quietly;2025-08-02T14:58:40;luck woot phooey;2025-08-02T07:17:05;daily ruddy woot
160471a8-4c1b-40ee-8cf2-e3c2a9f27fa7;down impure;casket replicate;false;awful;2025-08-02T07:44:32;mmm till since;2025-08-03T02:19:39;completion unbalance
dfbf4d53-b899-486b-b344-d7594d8c8250;notwithstanding;porter selfish sharply;false;ouch grave lady;2025-08-02T21:22:07;plus service;2025-08-02T10:32:09;aw derby if
cb621794-9599-4e28-a4d3-9a4c2d2dc7ee;gnash weighty handy;midwife beside that;false;pleasant blah;2025-08-03T02:42:11;abandoned hmph;2025-08-03T00:23:37;from
a4976cf2-d433-40f9-98e1-5de4dfd83064;apud weird;hovel junior;true;furthermore dandelion even;2025-08-02T20:03:26;kindly;2025-08-02T09:29:47;whenever
51a3ebce-b66d-40cf-abf8-c7b9134ff39b;design off;mid;true;behold;2025-08-02T05:48:24;pfft freckle subsidy;2025-08-02T13:06:34;continually
