id;publication_type_name;publication_type_code;flag_active;create_user;created_at;update_user;updated_at;uuid
6a6b835d-d46e-4d3f-81b3-5e25cea8a094;reiterate except;under excess;true;sesame impractical bad;2025-08-03T01:09:18;unethically anti voluntarily;2025-08-03T02:51:51;excepting
ad120895-44f2-4f97-9494-b67e324cc290;oof;wise drag;true;pace stable optimistically;2025-08-02T21:01:42;splash;2025-08-02T12:49:41;hence
dfd9eb7e-b854-4eb8-8ca8-c28a27636597;to;far-flung which;false;spirit afore limited;2025-08-02T04:15:58;diversity;2025-08-03T00:10:44;worth immediately
89c773e7-c1a8-4b9c-b93e-f4618aeaa178;furthermore dull;numeracy though;false;brr yet terribly;2025-08-03T01:34:30;airline;2025-08-02T11:34:17;unkempt aw
86cd3b36-a2fb-45ea-9440-a5764936f1be;bludgeon;advocate promptly;false;hence gosh once;2025-08-02T16:03:06;that inwardly;2025-08-02T09:49:14;yowza
138e6b0b-146b-4d28-a44f-181e512bda7b;because severe;boggle partially content;true;worthless indeed dimly;2025-08-02T03:45:56;accountability arbitrate;2025-08-02T12:27:29;following yippee
5a0e579b-c3e1-4519-822f-0f2c9bc8ff5f;not;anenst since woot;true;mantua;2025-08-02T16:19:55;carelessly where;2025-08-02T08:56:49;whale
9919400f-2bdf-4440-b121-889f8e3b479f;calmly with;starch plus;true;ah;2025-08-03T02:00:50;around mmm aftermath;2025-08-02T14:06:04;pitiful
03ca3ec9-5359-45d4-8a8f-030c0c0127dc;aboard secret;ectoderm;true;excluding midst;2025-08-02T14:39:07;eventually whether;2025-08-02T03:39:02;after modulo
a388ec0c-2617-4f34-bca9-d19a2bff9580;skyline;hence;true;valuable mantua bemuse;2025-08-02T18:40:42;reckon;2025-08-02T21:28:30;jet downchange
